date(YYYY-m-d),streamflow
2016-08-02,4.229078995
2016-08-03,3.637598529
2016-08-04,3.131573082
2016-08-05,2.654248437
2016-08-06,1.784938534
2016-08-07,1.383659905
2016-08-08,1.338742491
2016-08-09,1.267687651
2016-08-10,1.089668364
2016-08-11,0.876093546
2016-08-12,0.799735344
2016-08-13,0.786717699
2016-08-14,0.799735344
2016-08-15,0.765021625
2016-08-16,0.756343195
2016-08-17,0.731876881
2016-08-18,0.663611797
2016-08-19,0.589831623
2016-08-20,0.517293208
2016-08-21,0.485371294
2016-08-22,0.481824415
2016-08-23,0.566949517
2016-08-24,0.542654972
2016-08-25,1.011534192
2016-08-26,1.744322558
2016-08-27,2.0677626
2016-08-28,2.662775525
2016-08-29,1.982030873
2016-08-30,1.953170572
2016-08-31,1.948526146
2016-09-01,2.711684851
2016-09-02,4.691409073
2016-09-03,3.391224175
2016-09-04,2.911231001
2016-09-05,2.274018882
2016-09-06,1.908658482
2016-09-07,1.780010399
2016-09-08,1.627950705
2016-09-09,1.394889258
2016-09-10,1.295835417
2016-09-11,1.21002127
2016-09-12,1.258291728
2016-09-13,1.112925286
2016-09-14,1.082518358
2016-09-15,1.129013662
2016-09-16,8.506349066
2016-09-17,5.341025868
2016-09-18,3.219851142
2016-09-19,2.471465048
2016-09-20,1.934829305
2016-09-21,1.724259797
2016-09-22,1.555842904
2016-09-23,1.462265379
2016-09-24,1.378045228
2016-09-25,1.338742491
2016-09-26,1.520409095
2016-09-27,1.549730572
2016-09-28,2.405031333
2016-09-29,2.439502279
2016-09-30,1.837730456
2016-10-01,1.760933789
2016-10-02,1.742596793
2016-10-03,1.44691906
2016-10-04,3.416166762
2016-10-05,2.498255213
2016-10-06,2.431779591
2016-10-07,6.504692319
2016-10-08,3.163993433
2016-10-09,2.430236056
2016-10-10,2.147367458
2016-10-11,1.882977888
2016-10-12,1.657520218
2016-10-13,1.520409095
2016-10-14,1.400503935
2016-10-15,1.338742491
2016-10-16,1.338742491
2016-10-17,1.252928343
2016-10-18,1.148697491
2016-10-19,1.107814971
2016-10-20,1.053386237
2016-10-21,0.97570058
2016-10-22,0.970845226
2016-10-23,0.970845226
2016-10-24,1.902848583
2016-10-25,2.115038758
2016-10-26,1.515541692
2016-10-27,1.520409095
2016-10-28,1.458148414
2016-10-29,1.340752831
2016-10-30,1.301198801
2016-10-31,1.16913875
2016-11-01,1.082518358
2016-11-02,1.029109469
2016-11-03,0.97570058
2016-11-04,0.970845226
2016-11-05,0.970845226
2016-11-06,0.92026316
2016-11-07,0.860484354
2016-11-08,0.865082724
2016-11-09,0.856145139
2016-11-10,0.821431419
2016-11-11,0.786717699
2016-11-12,0.76068241
2016-11-13,0.756343195
2016-11-14,0.756343195
2016-11-15,0.740032319
2016-11-16,0.699255129
2016-11-17,0.678866534
2016-11-18,0.695438906
2016-11-19,1.085824704
2016-11-20,1.227376769
2016-11-21,1.155289106
2016-11-22,0.954248612
2016-11-23,0.817092204
2016-11-24,0.7359546
2016-11-25,0.687021972
2016-11-26,0.658477939
2016-11-27,1.121673025
2016-11-28,0.922839659
2016-11-29,0.907800512
2016-11-30,0.786717699
2016-12-01,0.77803927
